"Subject","Course Number","Department(s)","Course Title","Credits - Units - Minimum Units","Credits - Units - Maximum Units","Terms Offered","Course Description","Cross-Listed Course(s)","Repeat Rules","Repeat Rule: Special Circumstances","Offering Information","Offering Details","Additional Offering Information"
"COMPSCI","170","Electrical Engineering and Computer Sciences","Efficient Algorithms and Intractable Problems","4","4","-","Concept and basic techniques in the design and analysis of algorithms; models of computation; lower bounds; algorithms for optimum search trees, balanced trees and UNION-FIND algorithms; numerical and algebraic algorithms; combinatorial algorithms. Turing machines, how to count steps, deterministic and nondeterministic Turing machines, NP-completeness. Unsolvable and intractable problems. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","171","Electrical Engineering and Computer Sciences","Cryptography","4","4","-","Cryptography or cryptology is the science of designing algorithms and protocols for enabling parties to communicate and compute securely in an untrusted environment (e.g. secure communication, digital signature, etc.) Over the last four decades, cryptography has transformed from an ad hoc collection of mysterious tricks into a rigorous science based on firm complexity-theoretic foundations.  This modern complexity-theoretic approach to cryptography will be the focus. E.g., in the context of encryption we will begin by giving a precise mathematical definition for what it means to be a secure encryption scheme and then give a construction (realizing this security notion) assuming various computational hardness assumptions (e.g. factoring). ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","172","Electrical Engineering and Computer Sciences","Computability and Complexity","4","4","-","Finite automata, Turing machines and RAMs. Undecidable, exponential, and polynomial-time problems. Polynomial-time equivalence of all reasonable models of computation. Nondeterministic Turing machines. Theory of NP-completeness: Cook's theorem, NP-completeness of basic problems. Selected topics in language theory, complexity and randomness. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","174","Electrical Engineering and Computer Sciences","Combinatorics and Discrete Probability","4","4","-","Permutations, combinations, principle of inclusion and exclusion, generating functions, Ramsey theory. Expectation and variance, Chebychev's inequality, Chernov bounds. Birthday paradox, coupon collector's problem, Markov chains and entropy computations, universal hashing, random number generation, random graphs and probabilistic existence bounds. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","176","Electrical Engineering and Computer Sciences","Algorithms for Computational Biology","4","4","-","Algorithms and probabilistic models that arise in various computational biology applications: suffix trees, suffix arrays, pattern matching, repeat finding, sequence alignment, phylogenetics, genome rearrangements, hidden Markov models, gene finding, motif finding, stochastic context free grammars, RNA secondary structure. There are no biology prerequisites for this course, but a strong quantitative background will be essential. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","180","Electrical Engineering and Computer Sciences","Intro to Computer Vision and Computational Photography","4","4","-","This advanced undergraduate course introduces students to computing with visual data (images and video). We will cover acquisition, representation, and manipulation of visual information from digital photographs (image processing), image analysis and visual understanding (computer vision), and image synthesis (computational photography). Key algorithms will be presented, ranging from classical to contemporary, with an emphasis on using these techniques to build practical systems. The hands-on emphasis will be reflected in the programming assignments, where students will acquire their own images and develop, largely from scratch, image analysis and synthesis tools for real-world applications.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","184","Electrical Engineering and Computer Sciences","Foundations of Computer Graphics","4","4","-","A broad introduction to the fundamentals of computer graphics. The main areas covered are modeling, rendering, animation and imaging. Topics include 2D and 3D transformations, drawing to raster displays, sampling, texturing, antialiasing, geometric modeling, ray tracing and global illumination, animation, cameras, image processing and computational imaging. There will be an emphasis on mathematical and geometric aspects of graphics, and the ability to write complete 3D graphics programs.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","185","Electrical Engineering and Computer Sciences","Deep Reinforcement Learning, Decision Making, and Control","3","3","-","This course will cover the intersection of control, reinforcement learning, and deep learning. This course will provide an advanced treatment of the reinforcement learning formalism, the most critical model-free reinforcement learning algorithms (policy gradients, value function and Q-function learning, and actor-critic), a discussion of model-based reinforcement learning algorithms, an overview of imitation learning, and a range of advanced topics, including exploration, model-based learning with video prediction, transfer learning, multi-task learning, and meta-learning. Homework assignments will cover imitation learning, policy gradients, Q-learning, and model-based reinforcement learning, as well as a final project. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","186","Electrical Engineering and Computer Sciences","Introduction to Database Systems","4","4","-","Access methods and file systems to facilitate data access. Hierarchical, network, relational, and object-oriented data models. Query languages for models. Embedding query languages in programming languages. Database services including protection, integrity control, and alternative views of data. High-level interfaces including application generators, browsers, and report writers. Introduction to transaction processing. Database system implementation to be done as term project. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","188","Electrical Engineering and Computer Sciences","Introduction to Artificial Intelligence","4","4","-","Ideas and techniques underlying the design of intelligent computer systems. Topics include search, game playing, knowledge representation, inference, planning, reasoning under uncertainty, machine learning, robotics, perception, and language understanding.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","189","Electrical Engineering and Computer Sciences","Introduction to Machine Learning","4","4","-","Theoretical foundations, algorithms, methodologies, and applications for machine learning. Topics may include supervised methods for regression and classication (linear models, trees, neural networks, ensemble methods, instance-based methods); generative and discriminative probabilistic models; Bayesian parametric learning; density estimation and clustering; Bayesian networks; time series models; dimensionality reduction; programming projects covering a variety of real-world applications. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","194","Electrical Engineering and Computer Sciences","Special Topics","1","4","-","Topics will vary semester to semester. See the Computer Science Division announcements. ","-","Course may be repeated for credit when topic changes.","-","-","-","-"
"COMPSCI","195","Electrical Engineering and Computer Sciences","Social Implications of Computer Technology","1","1","-","Topics include electronic community; the changing nature of work; technological risks; the information economy; intellectual property; privacy; artificial intelligence and the sense of self; pornography and censorship; professional ethics. Students will lead discussions on additional topics.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","197","Electrical Engineering and Computer Sciences","Field Study","1","4","-","Students take part in organized individual field sponsored programs with off-campus companies or tutoring/mentoring relevant to specific aspects and applications of computer science on or off campus. Note Summer CPT or OPT students: written report required. Course does not count toward major requirements, but will be counted in the cumulative units toward graduation.","-","Course may be repeated for credit without restriction.","-","-","-","-"
"COMPSCI","198","Electrical Engineering and Computer Sciences","Directed Group Studies for Advanced Undergraduates","1","4","-","Group study of selected topics in Computer Sciences, usually relating to new developments.","-","Course may be repeated for credit without restriction.","-","-","-","-"
"COMPSCI","199","Electrical Engineering and Computer Sciences","Supervised Independent Study","1","4","-","Supervised independent study. Enrollment restrictions apply.","-","Course may be repeated for credit without restriction.","-","-","-","-"
"COMPSCI","250","Electrical Engineering and Computer Sciences","VLSI Systems Design","4","4","-","Unified top-down and bottom-up design of integrated circuits and systems concentrating on architectural and topological issues. VLSI architectures, systolic arrays, self-timed systems. Trends in VLSI development. Physical limits. Tradeoffs in custom-design, standard cells, gate arrays. VLSI design tools. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","252A","Electrical Engineering and Computer Sciences","Graduate Computer Architecture","4","4","-","Graduate survey of contemporary computer organizations covering: early systems, CPU design, instruction sets, control, processors, busses, ALU, memory, I/O interfaces, connection networks, virtual memory, pipelined computers, multiprocessors, and case studies. Term paper or project is required. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","260A","Electrical Engineering and Computer Sciences","User Interface Design and Development","4","4","-","The design, implementation, and evaluation of user interfaces. User-centered design and task analysis. Conceptual models and interface metaphors. Usability inspection and evaluation methods. Analysis of user study data. Input methods (keyboard, pointing, touch, tangible) and input models. Visual design principles. Interface prototyping and implementation methodologies and tools. Students will develop a user interface for a specific task and target user group in teams.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","260B","Electrical Engineering and Computer Sciences","Human-Computer Interaction Research","3","3","-","This course is a broad introduction to conducting research in Human-Computer Interaction. Students will become familiar with seminal and recent literature; learn to review and critique research papers; re-implement and evaluate important existing systems; and gain experience in conducting research. Topics include input devices, computer-supported cooperative work, crowdsourcing, design tools, evaluation methods, search and mobile interfaces, usable security, help and tutorial systems. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","260M","Electrical Engineering and Computer Sciences","User Interface Design and Development","4","4","-","The design, implementation, and evaluation of user interfaces. User-centered design and task analysis. Conceptual models and interface metaphors. Usability inspection and evaluation methods. Analysis of user study data. Input methods (keyboard, pointing, touch, tangible) and input models. Visual design principles. Interface prototyping and implementation methodologies and tools. Students will develop a user interface for a specific task and target user group in teams.","-","-","-","-","-","-"
"COMPSCI","261","Electrical Engineering and Computer Sciences","Security in Computer Systems","3","3","-","Graduate survey of modern topics in computer security, including protection, access control, distributed access security, firewalls, secure coding practices, safe languages, mobile code, and case studies from real-world systems. May also cover cryptographic protocols, privacy and anonymity, and/or other topics as time permits. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","261N","Electrical Engineering and Computer Sciences","Internet and Network Security","4","4","-","Develops a thorough grounding in Internet and network security suitable for those interested in conducting research in the area or those more broadly interested in security or networking. Potential topics include denial-of-service; capabilities; network intrusion detection/prevention; worms; forensics; scanning; traffic analysis; legal issues; web attacks; anonymity; wireless and networked devices; honeypots; botnets; scams; underground economy; attacker infrastructure; research pitfalls. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","262A","Electrical Engineering and Computer Sciences","Advanced Topics in Computer Systems","4","4","-","Graduate survey of systems for managing computation and information, covering a breadth of topics: early systems; volatile memory management, including virtual memory and buffer management; persistent memory systems, including both file systems and transactional storage managers; storage metadata, physical vs. logical naming, schemas, process scheduling, threading and concurrency control; system support for networking, including remote procedure calls, transactional RPC, TCP, and active messages; security infrastructure; extensible systems and APIs; performance analysis and engineering of large software systems. Homework assignments, exam, and term paper or project required.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","262B","Electrical Engineering and Computer Sciences","Advanced Topics in Computer Systems","3","3","-","Continued graduate survey of large-scale systems for managing information and computation. Topics include basic performance measurement; extensibility, with attention to protection, security, and management of abstract data types; index structures, including support for concurrency and recovery; parallelism, including parallel architectures, query processing and scheduling; distributed data management, including distributed and mobile file systems and databases; distributed caching; large-scale data analysis and search. Homework assignments, exam, and term paper or project required. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","263","Electrical Engineering and Computer Sciences","Design of Programming Languages","3","3","-","Selected topics from: analysis, comparison, and design of programming languages, formal description of syntax and semantics, advanced programming techniques, structured programming, debugging, verification of programs and compilers, and proofs of correctness. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","264","Electrical Engineering and Computer Sciences","Implementation of Programming Languages","4","4","-","Compiler construction. Lexical analysis, syntax analysis. Semantic analysis code generation and optimization. Storage management. Run-time organization. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","265","Electrical Engineering and Computer Sciences","Compiler Optimization and Code Generation","3","3","-","Table-driven and retargetable code generators. Register management. Flow analysis and global optimization methods. Code optimization for advanced languages and architectures. Local code improvement. Optimization by program transformation. Selected additional topics. A term paper or project is required. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","268","Electrical Engineering and Computer Sciences","Computer Networks","3","3","-","Distributed systems, their notivations, applications, and organization. The network component. Network architectures. Local and long-haul networks, technologies, and topologies. Data link, network, and transport protocols. Point-to-point and broadcast networks. Routing and congestion control. Higher-level protocols. Naming. Internetworking. Examples and case studies. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","270","Electrical Engineering and Computer Sciences","Combinatorial Algorithms and Data Structures","3","3","-","Design and analysis of efficient algorithms for combinatorial problems. Network flow theory, matching theory, matroid theory; augmenting-path algorithms; branch-and-bound algorithms; data structure techniques for efficient implementation of combinatorial algorithms; analysis of data structures; applications of data structure techniques to sorting, searching, and geometric problems. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","271","Electrical Engineering and Computer Sciences","Randomness and Computation","3","3","-","Computational applications of randomness and computational theories of randomness. Approximate counting and uniform generation of combinatorial objects, rapid convergence of random walks on expander graphs, explicit construction of expander graphs, randomized reductions, Kolmogorov complexity, pseudo-random number generation, semi-random sources.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","272","Electrical Engineering and Computer Sciences","Foundations of Decisions, Learning, and Games","4","4","-","This course introduces students to the mathematical foundation of learning in the presence of strategic and societal agency. This is a theory-oriented course that will draw from the statistical and computational foundations of machine learning, computer science, and economics. As a research-oriented course, a range of advanced topics will be explored to paint a comprehensive
picture of classical and modern approaches to learning for the purpose of decision making.These topics include foundations of learning, foundations of algorithmic game theory, cooperative and non-cooperative games, equilibria and dynamics, learning in games, information asymmetries, mechanism design, and learning with incentives. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","274","Electrical Engineering and Computer Sciences","Computational Geometry","3","3","-","<Formerly 292T>. Constructive problems in computational geometry: convex hulls, triangulations, Voronoi diagrams, arrangements of hyperplanes; relationships among these problems. Search problems: advanced data structures; subdivision search; various kinds of range searches. Models of computation; lower bounds. ","-","Course may be repeated for credit without restriction.","-","-","-","-"
"COMPSCI","276","Electrical Engineering and Computer Sciences","Cryptography","3","3","-","Graduate survey of modern topics on theory, foundations, and applications of modern cryptography. One-way functions; pseudorandomness; encryption; authentication; public-key cryptosystems; notions of security. May also cover zero-knowledge proofs, multi-party cryptographic protocols, practical applications, and/or other topics, as time permits. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","278","Electrical Engineering and Computer Sciences","Machine-Based Complexity Theory","3","3","-","Properties of abstract complexity measures; Determinism vs. nondeterminism; time vs. space; complexity hierarchies; aspects of the P-NP question; relative power of various abstract machines. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","280A","Electrical Engineering and Computer Sciences","Intro to Computer Vision and Computational Photography","4","4","-","This course introduces students to computing with visual data (images and video). We will cover acquisition, representation, and manipulation of visual information from digital photographs (image processing), image analysis and visual understanding (computer vision), and image synthesis (computational photography). Key algorithms will be presented, ranging from classical to contemporary, with an emphasis on using these techniques to build practical systems. The hands-on emphasis will be reflected in the programming assignments, where students will acquire their own images and develop, largely from  scratch, image analysis and synthesis tools for real-world applications.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","282A","Electrical Engineering and Computer Sciences","Designing, Visualizing and Understanding Deep Neural Networks","4","4","-","Deep Networks have revolutionized computer vision, language technology, robotics and control. They have growing impact in many other areas of science and engineering. They do not however, follow a closed or compact set of theoretical principles. In Yann Lecun's words they require ""an interplay between intuitive insights, theoretical modeling, practical implementations, empirical studies, and scientific analyses."" This course attempts to cover that ground.
","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","284A","Electrical Engineering and Computer Sciences","Foundations of Computer Graphics","4","4","-","A broad introduction to the fundamentals of computer graphics. The main areas covered are modeling, rendering, animation and imaging. Topics include 2D and 3D transformations, drawing to raster displays, sampling, texturing, antialiasing, geometric modeling, ray tracing and global illumination, animation, cameras, image processing and computational imaging. There will be an emphasis on mathematical and geometric aspects of graphics, and the ability to write complete 3D graphics programs.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","284B","Electrical Engineering and Computer Sciences","Advanced Computer Graphics Algorithms and Techniques","4","4","-","This course provides a graduate-level introduction to advanced computer graphics algorithms and techniques. Students should already be familiar with basic concepts such as transformations, scan-conversion, scene graphs, shading, and light transport. Topics covered in this course include global illumination, mesh processing, subdivision surfaces, basic differential geometry, physically based animation, inverse kinematics, imaging and computational photography, and precomputed light transport. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","284M","Electrical Engineering and Computer Sciences","Foundations of Computer Graphics","4","4","-","Techniques of modeling objects for the purpose of computer rendering: boundary representations, constructive solids geometry, hierarchical scene descriptions. Mathematical techniques for curve and surface representation. Basic elements of a computer graphics rendering pipeline; architecture of modern graphics display devices. Geometrical transformations such as rotation, scaling, translation, and their matrix representations. Homogeneous coordinates, projective and perspective transformations.","-","-","-","-","-","-"
"COMPSCI","285","Electrical Engineering and Computer Sciences","Deep Reinforcement Learning, Decision Making, and Control","3","3","-","Intersection of control, reinforcement learning, and deep learning. Deep learning methods, which train large parametric function approximators, achieve excellent results on problems that require reasoning about unstructured real-world situations (e.g., computer vision, speech recognition, NLP). Advanced treatment of the reinforcement learning formalism, the most critical model-free reinforcement learning algorithms (policy gradients, value function and Q-function learning, and actor-critic), a discussion of model-based reinforcement learning algorithms, an overview of imitation learning, and a range of advanced topics (e.g., exploration, model-based learning with video prediction, transfer learning, multi-task learning, and meta-learning).","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","286","Electrical Engineering and Computer Sciences","Implementation of Data Base Systems","3","3","-","Implementation of data base systems on modern hardware systems. Considerations concerning operating system design, including buffering, page size, prefetching, etc. Query processing algorithms, design of crash recovery and concurrency control systems. Implementation of distributed data bases and data base machines. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","287","Electrical Engineering and Computer Sciences","Advanced Robotics","3","3","-","Advanced topics related to current research in algorithms and artificial intelligence for robotics. Planning, control, and estimation for realistic robot systems, taking into account: dynamic constraints, control and sensing uncertainty, and non-holonomic motion constraints.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","287H","Electrical Engineering and Computer Sciences","Algorithmic Human-Robot Interaction","4","4","-","As robot autonomy advances, it becomes more and more important to develop algorithms that are not solely functional, but also mindful of the end-user. How should the robot move differently when it's moving in the presence of a human? How should it learn from user feedback? How should it assist the user in accomplishing day to day tasks? These are the questions we will investigate in this course.
We will contrast existing algorithms in robotics with studies in human-robot interaction, discussing how to tackle interaction challenges in an algorithmic way, with the goal of enabling generalization across robots and tasks. We will also sharpen research skills: giving good talks, experimental design, statistical analysis, literature surveys.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","288","Electrical Engineering and Computer Sciences","Advanced Natural Language Processing","4","4","-","This course provides a graduate-level introduction to Natural Language Processing (NLP). We will survey foundational approaches such as word representations and n-gram language models, followed by neural methods including recurrent networks and attention mechanisms, and then progress to modern Transformer-based architectures. In addition, the course will cover advanced topics in contemporary NLP, including retrieval-augmented models, mixture-of-experts architectures, AI agents, and memorization.","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","289A","Electrical Engineering and Computer Sciences","Introduction to Machine Learning","4","4","-","This course provides an introduction to theoretical foundations, algorithms, and methodologies for machine learning, emphasizing the role of probability and optimization and exploring a variety of real-world applications. Students are expected to have a solid foundation in calculus and linear algebra as well as exposure to the basic tools of logic and probability, and should be familiar with at least one modern, high-level programming language. ","-","Course is not repeatable for credit.","-","-","-","-"
"COMPSCI","294","Electrical Engineering and Computer Sciences","Special Topics","1","4","-","Topics will vary from semester to semester. See Computer Science Division announcements.","-","Course may be repeated for credit without restriction.","-","-","-","-"
"COMPSCI","297","Electrical Engineering and Computer Sciences","Field Studies in Computer Science","0","12","-","Supervised experience in off-campus companies relevant to specific aspects and applications of electrical engineering and/or computer science. Written report required at the end of the semester.","-","Course may be repeated for credit without restriction.","-","-","-","-"
"COMPSCI","298","Electrical Engineering and Computer Sciences","Group Studies Seminars, or Group Research","1","4","-","Advanced study in various subjects through seminars on topics to be selected each year, informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation.","-","Course may be repeated for credit without restriction.","-","-","-","-"
"COMPSCI","299","Electrical Engineering and Computer Sciences","Individual Research","1","12","-","Investigations of problems in computer science.","-","Course may be repeated for credit without restriction.","-","-","-","-"
